,0
0,0
1,0
2,1
3,1
4,0
5,0
6,3
7,3
8,3
9,2
10,3
11,3
12,1
13,0
14,2
15,2
16,3
17,1
18,2
19,2
20,2
21,3
22,3
23,1
24,0
25,2
26,2
27,1
28,3
29,1
30,2
31,0
32,3
33,0
34,0
35,2
36,0
37,1
38,1
39,1
40,1
41,3
42,2
43,0
44,3
45,0
46,1
47,1
48,1
49,1
50,1
51,0
52,1
53,2
54,3
55,2
56,3
57,0
58,3
59,0
60,2
61,0
62,0
63,0
64,1
65,3
66,3
67,2
68,1
69,3
70,2
71,2
72,3
73,3
74,0
75,2
76,0
77,1
78,0
79,1
80,0
81,3
82,2
83,0
84,2
85,1
86,2
87,0
88,0
89,3
90,2
91,3
92,1
93,2
94,1
95,2
96,2
97,1
98,3
99,0
100,2
101,3
102,1
103,0
104,3
105,2
106,2
107,1
108,1
109,1
110,2
111,0
112,3
113,2
114,3
115,1
116,2
117,2
118,3
119,0
120,1
121,1
122,1
123,0
124,0
125,3
126,1
127,1
128,3
129,3
130,0
131,2
132,2
133,0
134,2
135,2
136,1
137,0
138,2
139,1
140,3
141,0
142,3
143,0
144,3
145,1
146,3
147,2
148,1
149,2
150,2
151,1
152,2
153,1
154,0
155,2
156,1
157,0
158,2
159,3
160,2
161,2
162,3
163,3
164,2
165,1
166,0
167,1
168,0
169,1
170,3
171,3
172,0
173,1
174,0
175,1
176,3
177,3
178,3
179,1
180,0
181,0
182,2
183,1
184,1
185,1
186,0
187,3
188,3
189,3
190,1
191,1
192,3
193,0
194,3
195,1
196,0
197,1
198,3
199,0
200,3
201,2
202,0
203,0
204,0
205,3
206,3
207,3
208,2
209,0
210,2
211,2
212,3
213,1
214,3
215,3
216,3
217,2
218,3
219,1
220,2
221,0
222,1
223,0
224,2
225,0
226,1
227,3
228,3
229,1
230,1
231,0
232,2
233,1
234,3
235,3
236,0
237,1
238,0
239,1
240,2
241,2
242,1
243,3
244,2
245,1
246,3
247,0
248,0
249,3
250,0
251,0
252,2
253,3
254,3
255,0
256,1
257,3
258,2
259,1
260,2
261,1
262,0
263,3
264,0
265,1
266,0
267,1
268,3
269,1
270,1
271,2
272,1
273,3
274,0
275,2
276,1
277,2
278,1
279,1
280,3
281,1
282,3
283,0
284,2
285,2
286,1
287,3
288,3
289,2
290,0
291,2
292,1
293,0
294,3
295,1
296,3
297,2
298,0
299,1
300,0
301,3
302,2
303,3
304,1
305,1
306,2
307,3
308,2
309,2
310,3
311,1
312,3
313,3
314,1
315,1
316,3
317,0
318,2
319,3
320,2
321,3
322,3
323,3
324,3
325,3
326,0
327,0
328,1
329,2
330,1
331,1
332,3
333,2
334,0
335,2
336,2
337,1
338,2
339,1
340,2
341,0
342,0
343,2
344,3
345,0
346,0
347,2
348,3
349,0
350,2
351,0
352,0
353,1
354,3
355,0
356,0
357,3
358,3
359,2
360,3
361,2
362,1
363,3
364,3
365,3
366,0
367,0
368,0
369,0
370,1
371,0
372,2
373,0
374,0
375,3
376,1
377,0
378,0
379,0
380,3
381,2
382,2
383,1
384,0
385,1
386,2
387,3
388,2
389,2
390,2
391,3
392,0
393,1
394,1
395,2
396,2
397,1
398,0
399,2
400,2
401,3
402,2
403,3
404,2
405,3
406,0
407,3
408,0
409,0
410,3
411,1
412,3
413,3
414,3
415,3
416,2
417,3
418,1
419,2
420,0
421,1
422,1
423,0
424,3
425,3
426,1
427,1
428,2
429,2
430,0
431,2
432,2
433,1
434,0
435,1
436,0
437,3
438,2
439,2
440,1
441,3
442,0
443,1
444,2
445,2
446,2
447,0
448,3
449,1
450,0
451,3
452,3
453,0
454,1
455,3
456,0
457,0
458,1
459,3
460,1
461,3
462,1
463,1
464,3
465,0
466,1
467,0
468,1
469,2
470,2
471,3
472,1
473,2
474,2
475,0
476,0
477,2
478,1
479,3
480,1
481,3
482,2
483,2
484,3
485,3
486,0
487,3
488,0
489,3
490,3
491,1
492,0
493,3
494,2
495,2
496,0
497,0
498,0
499,2
500,3
501,0
502,1
503,3
504,3
505,0
506,0
507,0
508,3
509,2
510,3
511,0
512,2
513,3
514,1
515,3
516,2
517,3
518,0
519,3
520,1
521,1
522,1
523,3
524,2
525,1
526,3
527,3
528,3
529,0
530,1
531,1
532,2
